Year,Population
2021,20896820
2020,20462610
2019,20035456
2018,19617964
2017,19210644
2016,18812324
2015,18421198
2014,18038726
2013,17664196
2012,17297940
2011,16938300
2010,16441252
2009,15684778
2008,14964081
2007,14274646
2006,13617860
2005,12991292
2004,12394358
2003,11823317
2002,11279318
2001,10760348
2000,10285091
1999,9865917
1998,9464368
1997,9079163
1996,8710134
1995,8355147
1994,8015089
1993,7688870
1992,7376350
1991,7075723
1990,6787737
1989,6626177
1988,6468678
1987,6314503
1986,6164207
1985,6017488
1984,5874457
1983,5734444
1982,5597955
1981,5480861
1980,5366372
1979,5253968
1978,5144069
1977,5036469
1976,4931263
1975,4827973
1974,4726985
1973,4628109
1972,4531433
1971,4436518
1970,4426045
1969,4498824
1968,4572698
1967,4647993
1966,4724422
1965,4582017
1964,4241769
1963,4244122
1962,4246474
1961,4248826
1960,3900441
1959,3284433
1958,2911903
1957,2716681
1956,2534790
1955,2364625
1954,2206094
1953,2058192
1952,1920389
1951,1791470
1950,1671365
